sensor_type,month,avg_value,max_value,min_value
motion,2023-10,24.38
motion,2024-02,25.00
motion,2023-11,23.57
motion,2024-01,24.43
motion,2023-12,24.09
motion,2023-08,26.35
motion,2023-09,24.48
light,2023-10,506.88
light,2024-02,324.69
light,2023-11,520.78
light,2023-12,502.58
light,2024-01,536.64
light,2023-08,535.74
light,2023-09,489.54
co2,2023-10,542.44
co2,2024-02,588.40
co2,2023-11,536.83
co2,2023-12,527.92
co2,2024-01,558.12
co2,2023-08,550.32
co2,2023-09,557.99
sound,2023-10,68.82
sound,2024-02,74.28
sound,2023-11,68.62
sound,2024-01,69.59
sound,2023-12,68.89
sound,2023-08,65.01
sound,2023-09,70.29
temperature,2023-10,25.52
temperature,2024-02,19.78
temperature,2023-11,25.05
temperature,2023-12,25.66
temperature,2024-01,25.83
temperature,2023-08,23.97
temperature,2023-09,24.99
humidity,2023-10,60.41
humidity,2024-02,69.23
humidity,2023-11,60.51
humidity,2023-12,58.71
humidity,2024-01,61.82
humidity,2023-08,60.37
humidity,2023-09,59.49
voc,2023-10,293.64
voc,2024-02,262.84
voc,2023-11,315.04
voc,2023-12,291.15
voc,2024-01,285.72
voc,2023-08,299.72
voc,2023-09,304.18
pressure,2023-10,1003.15
pressure,2024-02,1000.53
pressure,2023-11,1002.41
pressure,2023-12,996.98
pressure,2024-01,998.80
pressure,2023-08,999.32
pressure,2023-09,998.01
